Full Class Sched- ALL COLLEGES,   ,,,,,,,,,,,
Subject,Catalog,Section,Descr,Component,Name,Tot Enrl,Facil ID,Start Date,End Date,Mtg Pat,Mtg Start,Mtg End
ACCT, 201,10,INTRO FIN ACCT,LEC,"Kovacic,Don S",40,MARK 101,1/23/17,5/12/17,M,12:30:00 PM,3:20:00 PM
ACCT, 201,11A,INTRO FIN ACCT,LE2,"Kovacic,Don S",40,ARR,1/23/17,5/12/17,,,
ACCT, 201,20,INTRO FIN ACCT,LEC,"Boyer,Mark D",36,MARK 101,1/23/17,5/12/17,MW,8:30:00 PM,9:45:00 PM
ACCT, 201,21A,INTRO FIN ACCT,LE2,"Boyer,Mark D",36,ARR,1/23/17,5/12/17,,,
ACCT, 201,30,INTRO FIN ACCT,LEC,"Boyer,Mark D",34,MARK 301,1/23/17,5/12/17,T,7:00:00 PM,9:50:00 PM
ACCT, 201,31A,INTRO FIN ACCT,LE2,"Boyer,Mark D",34,ARR,1/23/17,5/12/17,,,
ACCT, 201,40,INTRO FIN ACCT,LEC,"Kovacic,Don S",41,MARK 306,1/23/17,5/12/17,TR,10:30:00 AM,11:45:00 AM
ACCT, 201,41A,INTRO FIN ACCT,LE2,"Kovacic,Don S",41,ARR,1/23/17,5/12/17,,,
ACCT, 201,50,INTRO FIN ACCT,LEC,"Boyer,Mark D",38,SBSB 1105,1/23/17,5/12/17,MW,2:30:00 PM,3:45:00 PM
ACCT, 201,51A,INTRO FIN ACCT,LE2,"Boyer,Mark D",38,ARR,1/23/17,5/12/17,,,
ACCT, 202,10,INTRO MANAG ACCT,LEC,"Kovacic,Don S",37,MARK 101,1/23/17,5/12/17,W,12:30:00 PM,3:20:00 PM
ACCT, 202,11A,INTRO MANAG ACCT,LE2,"Kovacic,Don S",37,ARR,1/23/17,5/12/17,,,
ACCT, 202,20,INTRO MANAG ACCT,LEC,"Kovacic,Don S",27,MARK 101,1/23/17,5/12/17,F,8:30:00 AM,11:20:00 AM
ACCT, 202,21A,INTRO MANAG ACCT,LE2,"Kovacic,Don S",27,ARR,1/23/17,5/12/17,,,
ACCT, 202,30,INTRO MANAG ACCT,LEC,"Boyer,Mark D",25,MARK 301,1/23/17,5/12/17,R,7:00:00 PM,9:50:00 PM
ACCT, 202,31A,INTRO MANAG ACCT,LE2,"Boyer,Mark D",25,ARR,1/23/17,5/12/17,,,
ACCT, 202,40,INTRO MANAG ACCT,LEC,"Kovacic,Don S",34,MARK 210,1/23/17,5/12/17,TR,2:30:00 PM,3:45:00 PM
ACCT, 202,41A,INTRO MANAG ACCT,LE2,"Kovacic,Don S",34,ARR,1/23/17,5/12/17,,,
ACCT, 301,01,INTERMEDIATE ACCOUNTING I,LEC,"Minot,Richard A",35,MARK 101,1/23/17,5/12/17,TR,10:00:00 AM,11:50:00 AM
ACCT, 301,02,INTERMEDIATE ACCOUNTING I,LEC,"Minot,Richard A",29,MARK 101,1/23/17,5/12/17,TR,3:00:00 PM,4:50:00 PM
ACCT, 302,01,INTERMED ACCTG II,LEC,"Hee,Kevin W",35,MARK 101,1/23/17,5/12/17,T,8:00:00 AM,9:50:00 AM
ACCT, 306,01,COST ACCOUNTING,LEC,"Zaidi,Syed K",27,MARK 101,1/23/17,5/12/17,TR,1:00:00 PM,2:50:00 PM
ACCT, 306,02,COST ACCOUNTING,LEC,"Zaidi,Syed K",15,MARK 101,1/23/17,5/12/17,TR,5:00:00 PM,6:50:00 PM
ACCT, 307,01,TAX ACCOUNTING,LEC,"Farkas,Maia J",39,MARK 101,1/23/17,5/12/17,MW,8:30:00 AM,10:20:00 AM
ACCT, 308,10,ACCT INFO & SYSTEMS,LEC,"Hee,Kevin W",37,MARK 304,1/23/17,5/12/17,MW,10:30:00 AM,12:20:00 PM
ACCT, 308,11A,ACCT INFO & SYSTEMS,ACT,"Hee,Kevin W",37,ARR,1/23/17,5/12/17,,,
ACCT, 406,01,COST MANAGEMENT,LEC,"Zaidi,Syed K",31,MARK 101,1/23/17,5/12/17,W,6:30:00 PM,8:20:00 PM
ACCT, 407,01,ADV TAX ACCOUNTING,LEC,"Farkas,Maia J",33,MARK 101,1/23/17,5/12/17,R,8:00:00 AM,9:50:00 AM
ACCT, 416,01,AUDITING,LEC,"Hwang,Nen-Chen",27,MARK 101,1/23/17,5/12/17,MW,10:30:00 AM,12:20:00 PM
ACCT, 416,02,AUDITING,LEC,"Hwang,Nen-Chen",23,MARK 101,1/23/17,5/12/17,MW,4:30:00 PM,6:20:00 PM
ACCT, 421,01,FIN ACCT GOVT NOT PROFIT,LEC,"Fusco,John J",26,MARK 101,1/23/17,5/12/17,M,6:30:00 PM,8:20:00 PM
ACCT, 422,01,ADVANCED ACCOUNTING,LEC,"Minot,Richard A",25,MARK 101,1/23/17,5/12/17,T,7:00:00 PM,8:50:00 PM
ACCT, 483-1,01,ST: ACCOUNTING ETHICS,LEC,"Minot,Richard A",31,MARK 101,1/23/17,5/12/17,R,7:00:00 PM,9:50:00 PM
AH, 111,01,INTRO TO THE ARTS & HUMANITIES,LEC,"Hoeger,Laura K",117,MARK 125,1/23/17,5/12/17,T,5:30:00 PM,8:20:00 PM
AIS, 101,01,INTRO TO AMER INDIAN STUDIES,LEC,"Tippeconnic,John W",42,UNIV 101,1/23/17,5/12/17,TR,1:00:00 PM,2:15:00 PM
AIS, 348,01,AMERICAN INDIAN COMMUNITIES,LEC,"Salomon Johnson,Amrah N S",16,ACD 303,1/23/17,5/12/17,M,2:30:00 PM,5:20:00 PM
AIS, 370,01,AMER INDIAN WOMEN & ACTIVISM,LEC,"Salomon Johnson,Amrah N S",28,ACD 301,1/23/17,5/12/17,TR,10:30:00 AM,11:45:00 AM
ANTH, 200,01,CULTURAL ANTHROPOLOGY,LEC,"Muniz,Adolfo A",45,ONLINE,1/23/17,5/12/17,,,
ANTH, 200,02,CULTURAL ANTHROPOLOGY,LEC,"Carlisle,Steven G",43,SBSB 1109,1/23/17,5/12/17,R,5:30:00 PM,8:20:00 PM
ANTH, 200,03,CULTURAL ANTHROPOLOGY,LEC,"Gaughen,Shasta C",44,SBSB 1103,1/23/17,5/12/17,T,5:30:00 PM,8:20:00 PM
ANTH, 200,04,CULTURAL ANTHROPOLOGY,LEC,"Placentia,Isabelle M",45,SBSB 1109,1/23/17,5/12/17,TR,7:30:00 AM,8:45:00 AM
ANTH, 200,05,CULTURAL ANTHROPOLOGY,LEC,"Placentia,Isabelle M",51,SBSB 1109,1/23/17,5/12/17,TR,1:00:00 PM,2:15:00 PM
ANTH, 200,06,CULTURAL ANTHROPOLOGY,LEC,"Placentia,Isabelle M",46,SBSB 1109,1/23/17,5/12/17,TR,4:00:00 PM,5:15:00 PM
ANTH, 200,07,CULTURAL ANTHROPOLOGY,LEC,"Gaughen,Shasta C",44,SBSB 1109,1/23/17,5/12/17,W,5:30:00 PM,8:20:00 PM
ANTH, 200,08,CULTURAL ANTHROPOLOGY,LEC,"Placentia,Isabelle M",54,SBSB 1109,1/23/17,5/12/17,TR,9:00:00 AM,10:15:00 AM
ANTH, 215,01,HUMAN ORIGINS,LEC,"Gaughen,Shasta C",40,SBSB 1104,1/23/17,5/12/17,M,5:30:00 PM,8:20:00 PM
ANTH, 301,01,CULTURE & MED: HEALERS,LEC,"Martinez,Konane M",40,ONLINE,1/23/17,5/12/17,,,
ANTH, 301,02,CULTURE & MED: HEALERS,LEC,"Wilken,Michael A",37,ONLINE,1/23/17,5/12/17,,,
ANTH, 301,03,CULTURE & MED: HEALERS,LEC,"Godde,Pamela M",40,SBSB 1104,1/23/17,5/12/17,MWF,9:30:00 AM,10:20:00 AM
ANTH, 301,04,CULTURE & MED: HEALERS,LEC,"Godde,Pamela M",39,SBSB 1104,1/23/17,5/12/17,MWF,10:30:00 AM,11:20:00 AM
ANTH, 301,05,CULTURE & MED: HEALERS,LEC,"Godde,Pamela M",40,SBSB 1104,1/23/17,5/12/17,MWF,11:30:00 AM,12:20:00 PM
ANTH, 301,06,CULTURE & MED: HEALERS,LEC,"Wilken,Michael A",41,ACD 308,1/23/17,5/12/17,T,2:30:00 PM,5:20:00 PM
ANTH, 301,07,CULTURE & MED: HEALERS,LEC,"Bade,Bonnie L",45,SBSB 1109,1/23/17,5/12/17,TR,10:30:00 AM,11:45:00 AM
ANTH, 301,08,CULTURE & MED: HEALERS,LEC,"Wilken,Michael A",41,SBSB 1109,1/23/17,5/12/17,T,5:30:00 PM,8:20:00 PM
ANTH, 301,09,CULTURE & MED: HEALERS,LEC,"Bade,Bonnie L",41,FCB 101,1/23/17,5/12/17,W,9:00:00 AM,12:00:00 PM
ANTH, 311,01,ARCHAEOLOGY OF HOLY LAND,LEC,"Muniz,Adolfo A",40,SBSB 1109,1/23/17,5/12/17,M,5:30:00 PM,8:20:00 PM
ANTH, 328,01,BODY AND IDENTITY,LEC,"Dark,Kimberly S",29,SBSB 2111,1/23/17,3/17/17,S,10:00:00 AM,3:50:00 PM
ANTH, 330,01,RITUAL AND RELIGION,LEC,"Carlisle,Steven G",37,SBSB 1104,1/23/17,5/12/17,M,2:30:00 PM,5:20:00 PM
ANTH, 360,01,INDIGENOUS ANTHROPOLOGY,LEC,"McGuire,Laurette A",40,SBSB 1104,1/23/17,5/12/17,R,1:00:00 PM,3:50:00 PM
ANTH, 379,01,ENVIRONMENTAL HEALTH/JUSTICE,LEC,"Green,Rochelle M",41,SBSB 1104,1/23/17,5/12/17,TR,9:00:00 AM,10:15:00 AM
ANTH, 390,01,ANTH RESEARCH METHODS,LEC,"Martinez,Konane M",41,SBSB 1104,1/23/17,5/12/17,TR,10:30:00 AM,11:45:00 AM
ANTH, 430,10,MEDICAL ETHNOGRAPHY,LEC,"Bade,Bonnie L",32,SBSB 1104,1/23/17,5/12/17,T,3:00:00 PM,4:50:00 PM
ANTH, 430,11A,MEDICAL ETHNOGRAPHY,ACT,"Bade,Bonnie L",32,SBSB 1104,1/23/17,5/12/17,T,5:00:00 PM,6:50:00 PM
ANTH, 440,10,FARMWORKER HEALTH ETHNOG,LEC,"Bade,Bonnie L",30,SBSB 1104,1/23/17,5/12/17,W,3:30:00 PM,5:20:00 PM
ANTH, 440,11A,FARMWORKER HEALTH ETHNOG,ACT,"Bade,Bonnie L",30,SBSB 1104,1/23/17,5/12/17,W,5:30:00 PM,7:20:00 PM
ANTH, 498,01,DIRECTED RESEARCH,SUP,"Martinez,Konane M",6,INDEPSTUDY,1/23/17,5/12/17,,,
ANTH, 498,03,DIRECTED RESEARCH,SUP,"Bade,Bonnie L",1,INDEPSTUDY,1/23/17,5/12/17,,,
ANTH, 498,04,DIRECTED RESEARCH,SUP,"Spenard,Jon P",1,INDEPSTUDY,1/23/17,5/12/17,,,
ANTH, 499,01,DIR RES MED ANTH,SUP,"Bade,Bonnie L",1,INDEPSTUDY,1/23/17,5/12/17,,,
ANTH, 499,02,DIR RES MED ANTH,SUP,"McGuire,Laurette A",2,INDEPSTUDY,1/23/17,5/12/17,,,
ARAB, 102,01,BEG ARABIC II,LEC,"Samir,Fatim-Zahra",20,MARK 213,1/23/17,5/12/17,TR,10:00:00 AM,11:50:00 AM
ASTR, 342,01,ELEMENTS OF ASTRONOMY,LEC,"Gill,Robert M",128,ACD 102,1/23/17,5/12/17,TR,7:30:00 AM,8:45:00 AM
ASTR, 342,02,ELEMENTS OF ASTRONOMY,LEC,"Silverman,Steven J",70,SBSB 1102,1/23/17,5/12/17,MW,2:30:00 PM,3:45:00 PM
ASTR, 342,03,ELEMENTS OF ASTRONOMY,LEC,"Pinter,Jerald F",72,SBSB 1102,1/23/17,5/12/17,TR,2:30:00 PM,3:45:00 PM
BA,  73,01,MEET THE LEADERS,NWI,"Pillai,Rajnandini",38,ARR,1/23/17,5/12/17,,,
BA, 506,01,MANAGING COMPLEX ORGANIZATIONS,LEC,"Rich,Bruce L",17,MARK 102,1/23/17,5/12/17,W,5:30:00 PM,7:30:00 PM
BA, 635,01,INFO TECHNOLOGIES & MGMT,LEC,"Herzler,Roger D",37,MARK 105,1/23/17,2/25/17,S,12:30:00 PM,3:15:00 PM
BIOL, 104,10,HUMAN BIOLOGY,LEC,"Robertson,Lyndsey M",81,ONLINE,1/23/17,5/12/17,,,
BIOL, 104,11A,HUMAN BIOLOGY,LAB,"Robertson,Lyndsey M",41,ONLINE,1/23/17,5/12/17,,,
BIOL, 104,12A,HUMAN BIOLOGY,LAB,"Robertson,Lyndsey M",40,ONLINE,1/23/17,5/12/17,,,
BIOL, 104,30,HUMAN BIOLOGY,LEC,"Perkins-Johnston,Penny S",15,ONLINE,1/23/17,5/12/17,,,
BIOL, 104,31A,HUMAN BIOLOGY,LAB,"Perkins-Johnston,Penny S",15,ONLINE,1/23/17,5/12/17,,,
